9	25	24
9	35	24
9	50	24
9	59	24
9	108	24
9	112	24
9	146	24
9	165	24
9	238	24
9	271	24
25	35	24
25	50	24
25	59	24
25	108	24
25	112	24
25	146	24
25	165	24
25	238	24
25	271	24
35	50	24
35	59	24
35	108	24
35	112	24
35	146	24
35	165	24
35	238	24
35	271	24
50	59	24
50	108	24
50	112	24
50	146	24
50	165	24
50	238	24
50	271	24
59	108	24
59	112	24
59	146	24
59	165	24
59	238	24
59	271	24
108	112	24
108	146	24
108	165	24
108	238	24
108	271	24
112	146	24
112	165	24
112	238	24
112	271	24
146	165	24
146	238	24
146	271	24
165	238	24
165	271	24
238	271	24
