28	60	1
28	105	1
28	106	1
28	121	1
28	138	1
28	189	1
28	212	1
28	292	3
28	318	1
28	359	1
45	65	1
45	68	1
45	86	3
45	106	2
45	121	1
45	123	1
45	124	1
45	137	2
45	138	3
45	173	1
45	189	1
45	292	2
45	312	3
45	318	3
45	338	1
45	359	1
60	65	2
60	66	2
60	68	1
60	73	2
60	86	1
60	106	3
60	118	2
60	121	1
60	124	1
60	138	4
60	189	2
60	212	1
60	292	3
60	312	1
60	318	2
60	359	1
65	66	3
65	68	5
65	73	3
65	86	5
65	105	1
65	106	5
65	111	1
65	118	3
65	121	5
65	123	2
65	124	3
65	137	2
65	138	5
65	142	2
65	144	1
65	173	2
65	189	2
65	233	1
65	292	8
65	312	5
65	318	4
65	329	1
65	338	1
65	342	1
65	351	1
66	68	2
66	73	3
66	86	2
66	106	2
66	118	3
66	121	1
66	123	1
66	124	2
66	138	2
66	189	1
66	292	3
66	318	1
68	73	2
68	86	4
68	105	1
68	106	4
68	111	1
68	118	2
68	121	3
68	123	2
68	124	3
68	137	1
68	138	3
68	142	1
68	173	1
68	292	5
68	312	2
68	318	3
68	342	1
68	351	1
73	86	2
73	106	2
73	118	3
73	121	1
73	123	1
73	124	2
73	138	2
73	189	1
73	292	3
73	318	1
86	105	2
86	106	6
86	118	2
86	121	5
86	123	3
86	124	3
86	137	4
86	138	7
86	142	2
86	173	1
86	189	1
86	233	1
86	287	1
86	292	5
86	312	7
86	318	9
86	329	1
86	338	2
86	342	1
86	351	1
101	121	1
101	138	1
101	144	1
101	212	1
101	292	3
101	312	2
101	359	3
105	106	3
105	111	1
105	121	2
105	123	2
105	138	4
105	142	3
105	173	2
105	212	1
105	292	5
105	312	2
105	318	4
105	338	1
105	342	2
105	351	1
105	359	1
106	111	1
106	118	2
106	121	6
106	123	3
106	124	3
106	137	2
106	138	8
106	142	2
106	173	2
106	189	4
106	212	1
106	233	1
106	292	9
106	312	7
106	318	8
106	338	2
106	342	1
106	351	1
106	359	2
111	137	2
111	138	3
111	142	2
111	173	1
111	189	1
111	212	2
111	233	1
111	292	4
111	312	1
111	318	1
111	342	2
118	121	1
118	123	1
118	124	2
118	138	2
118	189	1
118	292	3
118	318	1
121	123	3
121	124	2
121	137	1
121	138	4
121	142	2
121	173	2
121	189	1
121	212	2
121	233	1
121	292	7
121	312	5
121	318	4
121	329	1
121	338	2
121	342	1
121	351	1
121	359	1
123	124	1
123	138	2
123	142	2
123	173	2
123	292	4
123	312	1
123	318	2
123	338	1
123	342	1
123	351	1
123	359	1
124	138	2
124	292	3
124	312	1
124	318	2
137	138	4
137	189	2
137	233	1
137	292	2
137	312	5
137	318	5
137	329	1
137	338	1
138	142	6
138	144	2
138	173	2
138	189	4
138	212	3
138	233	2
138	287	2
138	292	16
138	312	10
138	318	11
138	329	2
138	338	2
138	342	3
138	351	2
138	359	3
142	144	1
142	173	2
142	212	2
142	233	1
142	287	1
142	292	6
142	312	3
142	318	3
142	329	1
142	338	1
142	342	3
142	351	1
144	292	3
144	312	2
144	359	2
173	189	1
173	212	1
173	233	1
173	292	4
173	312	2
173	318	1
173	338	1
173	342	2
173	351	1
173	359	1
189	233	1
189	292	4
189	312	4
189	318	3
189	338	1
189	359	2
212	233	1
212	292	4
212	312	1
212	342	2
212	359	1
233	292	2
233	312	2
233	318	1
233	338	1
233	342	1
287	292	2
287	312	3
287	318	2
287	329	1
287	351	1
292	312	11
292	318	9
292	329	2
292	338	2
292	342	3
292	351	2
292	359	8
312	318	11
312	329	2
312	338	2
312	342	1
312	351	1
312	359	5
318	329	3
318	338	2
318	342	1
318	351	1
318	359	2
342	351	1
