id	label	x	y	cluster	weight<Links>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	australia	0.6735	-0.5044	1	0	2	27	2.851	2019	13.5	1.4255
2	austria	0.372	-0.77	2	0	2	34	4.9815	2019.5	17	2.4907
3	brazil	0.4042	0.0088	3	0	3	2	1.2716	2022.6667	0.6667	0.4239
5	canada	-0.8276	0.1997	4	0	2	5	2.1212	2022.5	2.5	1.0606
7	china	-0.6343	-0.5389	5	0	4	35	4.1727	2020	8.75	1.0432
8	colombia	0.6595	0.5204	6	0	2	3	0.3273	2019.5	1.5	0.1636
9	denmark	0.3551	0.7781	7	0	3	12	2.601	2020.6667	4	0.867
10	ecuador	-0.8235	-0.2205	8	0	2	7	2.9697	2024	3.5	1.4848
11	germany	-0.3705	0.751	9	0	5	10	3.5513	2023.4	2	0.7103
12	greece	-0.6486	0.5224	10	0	2	11	2.8205	2022	5.5	1.4103
14	india	0.2483	-0.4081	11	0	10	35	8.4639	2023.8	3.5	0.8464
15	indonesia	-0.3517	-0.7598	12	0	4	8	2.4243	2020.75	2	0.6061
19	malaysia	-0.1895	-0.3368	13	0	2	23	2.3125	2018.5	11.5	1.1562
22	poland	-0.4962	-0.0108	14	0	3	8	4.4017	2022.3333	2.6667	1.4672
25	russian federation	0.2285	0.4174	15	0	3	6	1.9074	2019.3333	2	0.6358
27	slovakia	-0.0035	-0.8329	16	0	2	2	1.25	2022	1	0.625
29	spain	0.8192	-0.1732	17	0	3	32	6.3648	2021.6667	10.6667	2.1216
33	ukraine	0.8149	0.1943	18	0	3	12	15.3182	2024	4	5.1061
34	united kingdom	-0.0239	0.8333	19	0	3	34	1.6501	2015.3333	11.3333	0.55
35	united states	-0.2059	0.3297	20	0	18	125	15.1011	2019.6111	6.9444	0.839
