30	60	1
30	124	1
30	160	2
30	205	1
30	206	2
30	244	1
30	266	1
30	267	5
30	274	2
30	369	1
30	420	3
30	606	6
30	632	2
30	650	1
30	670	2
30	693	1
60	205	3
60	206	2
60	241	2
60	266	1
60	267	2
60	369	1
60	420	3
60	606	4
60	632	1
60	650	1
60	670	1
60	693	2
60	731	4
124	160	5
124	199	1
124	205	1
124	206	6
124	241	7
124	244	3
124	266	5
124	267	8
124	274	3
124	369	5
124	606	13
124	632	9
124	650	4
124	670	2
124	693	1
160	205	2
160	206	8
160	241	6
160	244	4
160	266	4
160	267	8
160	274	3
160	369	1
160	420	1
160	606	7
160	632	8
160	650	9
160	670	3
160	693	3
160	731	1
199	205	2
199	206	2
199	241	3
199	267	3
199	369	1
199	420	3
199	606	6
199	632	5
199	670	2
199	731	6
205	206	4
205	241	2
205	266	1
205	267	7
205	274	4
205	420	1
205	606	5
205	632	3
205	650	4
205	670	1
205	693	2
205	731	4
206	241	11
206	244	5
206	266	5
206	267	13
206	274	5
206	369	4
206	420	5
206	606	14
206	632	13
206	650	8
206	670	5
206	693	4
206	731	4
241	244	2
241	266	5
241	267	10
241	274	5
241	369	3
241	420	5
241	606	13
241	632	8
241	650	4
241	670	5
241	693	3
241	731	4
244	266	1
244	267	5
244	274	2
244	420	2
244	606	7
244	632	4
244	650	2
244	670	2
244	693	1
266	267	11
266	274	4
266	369	5
266	420	2
266	606	7
266	632	11
266	650	5
266	670	2
266	693	4
266	731	1
267	274	14
267	369	4
267	420	7
267	606	32
267	632	16
267	650	11
267	670	7
267	693	7
267	731	8
274	420	3
274	606	12
274	632	5
274	650	3
274	670	3
274	693	4
274	731	1
369	606	7
369	632	7
369	650	3
369	693	1
369	731	2
420	606	9
420	632	6
420	670	2
420	693	3
420	731	3
606	632	18
606	650	9
606	670	8
606	693	6
606	731	11
632	650	11
632	670	4
632	693	4
632	731	8
650	670	3
650	693	2
650	731	2
670	693	2
670	731	3
693	731	2
