id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
27	augmented reality	-0.2325	0.5634	1	4	8	7	2022	5.4286	0.9287
79	education	-0.1223	0.3657	1	6	9	6	2021.6667	2.5	0.9098
84	educational game	1.3846	-0.1875	3	1	2	3	2016	11	0.6667
102	game	-0.5843	-0.0772	2	5	6	3	2022.6667	2	1.25
103	game ai	0.2273	-0.6683	5	2	3	3	2023.3333	1.6667	0.7071
105	game design	-1.0578	-0.0279	4	1	1	3	2021	0.3333	0.3333
106	game development	0.2056	-0.0002	1	12	22	16	2021.25	7.25	0.8938
116	game-based learning	-0.9389	-0.0303	4	4	4	4	2023	2.25	0.9471
181	motivation	-0.2875	-0.4152	2	5	5	3	2021	12.3333	2.2438
220	serious game	0.4218	0.6229	1	3	3	4	2021.5	2.5	1.1174
250	unity	-0.3798	-0.0049	2	8	14	13	2022	8.9231	1.3859
251	unity 3d	0.3305	0.4983	1	4	5	4	2021.25	4.5	1.4784
256	unity engine	0.1086	-0.6032	5	3	5	4	2023	3.75	1.6723
257	unity game engine	1.2819	-0.1713	3	2	4	4	2015.75	15.5	1.1896
265	video game development	-0.4295	-0.4201	2	2	2	3	2021	11.6667	1.9105
269	virtual reality	0.0723	0.5556	1	6	13	13	2021.6923	4.5385	0.6471
